Día,"Nombre de la campaña",Edad,Sexo,Alcance,Impresiones,"Importe gastado (EUR)","Clics (todos)","CPC (todos)","CTR (todos)","Inicio del informe","Fin del informe"
2020-12-17,EU_Conversions,25-34,unknown,24,44,0.07,0,,0,2020-12-17,2020-12-17
2020-12-17,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,female,58,65,0.36,1,0.36,1.53846154,2020-12-17,2020-12-17
2020-12-17,EU_Conversions,25-34,female,4072,4227,5.25,84,0.0625,1.98722498,2020-12-17,2020-12-17
2020-12-17,EU_Conversions,25-34,male,5936,6118,5.8,101,0.05742574,1.6508663,2020-12-17,2020-12-17
2020-12-17,EU_Conversions_ViewContent,18-24,female,5368,5388,5.27,24,0.21958333,0.4454343,2020-12-17,2020-12-17
2020-12-17,EU_Conversions,18-24,female,12427,12427,11.45,139,0.0823741,1.11853223,2020-12-17,2020-12-17
2020-12-17,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,unknown,6,6,0.01,0,,0,2020-12-17,2020-12-17
2020-12-17,EU_Conversions_ViewContent,25-34,male,4022,4022,3.6,30,0.12,0.74589756,2020-12-17,2020-12-17
2020-12-17,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,unknown,4,7,0.05,0,,0,2020-12-17,2020-12-17
2020-12-17,EU_Conversions,18-24,male,11008,11008,7.41,91,0.08142857,0.82667151,2020-12-17,2020-12-17
2020-12-16,EU_Conversions,18-24,unknown,32,34,0.01,0,,0,2020-12-16,2020-12-16
2020-12-16,EU_Conversions,25-34,unknown,28,28,0.04,1,0.04,3.57142857,2020-12-16,2020-12-16
2020-12-16,EU_Conversions_ViewContent,25-34,female,684,736,0.67,4,0.1675,0.54347826,2020-12-16,2020-12-16
2020-12-16,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,unknown,4,5,0.07,0,,0,2020-12-16,2020-12-16
2020-12-16,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,unknown,9,10,0.02,0,,0,2020-12-16,2020-12-16
2020-12-16,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,female,51,55,0.27,0,,0,2020-12-16,2020-12-16
2020-12-16,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,male,260,273,1.31,2,0.655,0.73260073,2020-12-16,2020-12-16
2020-12-16,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,female,320,332,1,5,0.2,1.5060241,2020-12-16,2020-12-16
2020-12-16,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,male,1026,1083,2.32,11,0.21090909,1.01569714,2020-12-16,2020-12-16
2020-12-16,EU_Conversions,25-34,female,3968,4088,4.52,65,0.06953846,1.59001957,2020-12-16,2020-12-16
2020-12-16,EU_Conversions_ViewContent,18-24,unknown,23,23,0.01,0,,0,2020-12-16,2020-12-16
2020-12-16,EU_Conversions_ViewContent,25-34,unknown,4,4,0,0,,0,2020-12-16,2020-12-16
2020-12-16,EU_Conversions_ViewContent,25-34,male,3255,3255,3.13,26,0.12038462,0.79877112,2020-12-16,2020-12-16
2020-12-16,EU_Conversions,18-24,female,12472,12691,13.07,129,0.10131783,1.01646836,2020-12-16,2020-12-16
2020-12-16,EU_Conversions,25-34,male,4630,4630,4.68,69,0.06782609,1.49028078,2020-12-16,2020-12-16
2020-12-16,EU_Conversions,18-24,male,9208,9302,7.66,74,0.10351351,0.79552784,2020-12-16,2020-12-16
2020-12-16,EU_Conversions_ViewContent,18-24,male,11600,11914,10.22,74,0.13810811,0.62111801,2020-12-16,2020-12-16
2020-12-16,EU_Conversions_ViewContent,18-24,female,6254,6254,5.97,52,0.11480769,0.83146786,2020-12-16,2020-12-16
2020-12-15,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,female,188,196,0.72,0,,0,2020-12-15,2020-12-15
2020-12-15,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,male,175,184,2.02,1,2.02,0.54347826,2020-12-15,2020-12-15
2020-12-15,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,female,34,36,0.23,0,,0,2020-12-15,2020-12-15
2020-12-15,EU_Conversions_ViewContent,18-24,male,13666,13666,10.34,93,0.1111828,0.680521,2020-12-15,2020-12-15
2020-12-15,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,unknown,1,1,0,0,,0,2020-12-15,2020-12-15
2020-12-15,EU_Conversions_ViewContent,18-24,unknown,31,31,0.02,0,,0,2020-12-15,2020-12-15
2020-12-15,EU_Conversions_ViewContent,25-34,male,3760,3930,3.37,17,0.19823529,0.43256997,2020-12-15,2020-12-15
2020-12-15,EU_Conversions_ViewContent,18-24,female,5352,5554,5.15,48,0.10729167,0.86424199,2020-12-15,2020-12-15
2020-12-15,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,male,737,773,1.87,13,0.14384615,1.68175938,2020-12-15,2020-12-15
2020-12-15,EU_Conversions_ViewContent,25-34,unknown,16,16,0.01,0,,0,2020-12-15,2020-12-15
2020-12-15,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,unknown,3,3,0.01,0,,0,2020-12-15,2020-12-15
2020-12-15,EU_Conversions_ViewContent,25-34,female,722,722,1.03,5,0.206,0.69252078,2020-12-15,2020-12-15
2020-12-15,EU_Conversions,18-24,unknown,32,36,0.01,0,,0,2020-12-15,2020-12-15
2020-12-15,EU_Conversions,25-34,unknown,38,38,0.01,1,0.01,2.63157895,2020-12-15,2020-12-15
2020-12-15,EU_Conversions,25-34,female,4864,4951,4.5,68,0.06617647,1.37345991,2020-12-15,2020-12-15
2020-12-15,EU_Conversions,25-34,male,5984,6118,4.7,70,0.06714286,1.14416476,2020-12-15,2020-12-15
2020-12-15,EU_Conversions,18-24,male,10952,10952,7.86,122,0.06442623,1.11395179,2020-12-15,2020-12-15
2020-12-15,EU_Conversions,18-24,female,14152,14359,12.75,139,0.09172662,0.96803399,2020-12-15,2020-12-15
2020-12-14,EU_Conversions_ViewContent,18-24,female,7760,8079,7.12,64,0.11125,0.79217725,2020-12-14,2020-12-14
2020-12-14,EU_Conversions_ViewContent,18-24,male,13088,13088,9,90,0.1,0.68765281,2020-12-14,2020-12-14
2020-12-14,EU_Conversions_ViewContent,18-24,unknown,26,26,0.02,0,,0,2020-12-14,2020-12-14
2020-12-14,EU_Conversions_ViewContent,25-34,unknown,14,14,0,0,,0,2020-12-14,2020-12-14
2020-12-14,EU_Foreign_Conversions_AddtoCart_Catalogue_002,18-24,unknown,3,3,0,0,,0,2020-12-14,2020-12-14
2020-12-14,EU_Foreign_Conversions_AddtoCart_Catalogue_002,25-34,female,34,35,0.12,0,,0,2020-12-14,2020-12-14
